CNTYNAMB,CNTYNUMB,BANKCOUNT,asset
Benton,7,2,266307
Wayne,177,1,132942
Franklin,47,1,142803
Warrick,173,3,345162
Spencer,147,1,111173
Montgomery,107,1,155511
Tippecanoe,157,1,159375
Howard,67,1,221848
Wells,179,1,97588
Kosciusko,85,2,3696263
Ripley,137,2,530460
Morgan,109,1,424105
Decatur,31,1,3245400
Adams,1,2,781314
White,181,3,272283
Clark,19,2,981854
Hendricks,63,3,749184
Huntington,69,2,408514
Newton,111,2,356427
Allen,3,2,2759782
St. Joseph,141,1,5001255
Lagrange,87,1,582647
Clinton,23,1,479891
Cass,17,2,281907
Orange,117,1,287546
Fountain,45,2,344323
Jasper,73,1,365758
Miami,103,1,1443344
Scott,143,1,148242
Vanderburgh,163,2,509351
Grant,53,3,233466
Elkhart,39,1,444708
Hamilton,57,1,2225005
Pulaski,131,1,302955
Porter,127,1,146120
Marion,97,3,1914482
Vigo,167,1,71915
Floyd,43,1,1436835
Posey,129,1,70356
Noble,113,3,667844
Monroe,105,1,225408
Delaware,35,1,1444076
DeKalb,33,1,213704
Jackson,71,3,762662
Putnam,133,1,191854
Greene,55,1,388571
Dubois,37,2,2617472
Hancock,59,1,473199
Lake,89,2,3048116
Jefferson,77,1,518966
Henry,65,2,947549
Owen,119,2,253473
